ProductID,ProductName,ProductBrand,Gender,Price (INR),NumImages,Description,PrimaryColor
10017831,parx men blue slim fit printed casual shirt,parx,men,779,5,"blue printed casual shirt, has a spread collar, long sleeves, button placket,  curved hem, one patch pocket",blue
10002713,alcis women yellow & blue colorblocked tights,alcis,women,749,6,"alcis women  yellow & blue colorblocked tights, three-fouth length, elasticated waist",blue
10006029,id men brown leather formal slip-ons,id,men,956,5,"a pair of brown square-toed formal slip-on shoes, has elasticated gussets on both sidesleather upper, has a textured detailcushioned footbedtextured tpr outsolewarranty: 3 months against manufacturing defect onlywarranty provided by the brand owner / manufacturer",brown
10005903,difference of opinion men navy blue solid round neck t-shirt with side strip detail,difference of opinion,men,499,5,"navy blue solid t-shirt, has a round neck, long sleeves, has side stripes in the sleeves",blue
10017781,parx men blue slim fit checked casual shirt,parx,men,769,5,"blue checked casual shirt, has a spread collar, long sleeves, button placket,  curved hem, one pocket",blue
10002151,michael kors extreme blue for men edt 70 ml,michael kors,men,4275,2,"what it is:extreme blue for men edwhat it does:masculine and sensuous at the same time is this 'blue eau de toilette' from michael kors. exuding unmatched freshness, this edt is a must-have in your collection of fragrances. available in a 70 ml pack, this edt has top notes of bergamot, spicy pink pepper and invigorating cardamom. the heart notes are of juniper, cypress, nutty sesame and herbaceous sage, while the base notes include warm ambrox, musk and patchouli.",blue
10015989,tokyo talkies women off-white & pink floral print fit and flare dress,tokyo talkies,women,499,5,"off-white and pink printed woven fit and flare dress, has a round neck, three-quarter sleeves, concealed zip closure,, flared hem",white
10001111,anna sui women la vie de boheme edt 75ml,anna sui,women,4600,4,"anna sui la vie de boheme eau de toilettestrong perfumelasts 2 to 3 hoursfresh fragrancetop notes: turkish rose, sparkling pear, berries and pitahaya accordheart notes: red magnolia, peony, pink freesiabase notes: dry woods, sandalwood, musk and black vanillait comes in a 75 ml bottle.",other
10004151,highlander men navy blue & maroon slim fit checked casual shirt,highlander,men,699,5,"navy blue and maroon checked casual shirt, has a spread collar, long sleeves, button placket,  curved hem, one patch pocket",blue
10007705,her by invictus women brown solid cushioned mules,her by invictus,women,1044,6,"a pair of pointed closed toe brown mules with comfort lining and foam cushioned footbed for your work-from-home needs. it has regular styling, and closed backsynthetic upperfoam cushioned footbedtextured and patterned outsole",brown
10006041,id men beige leather derbys,id,men,2685,5,"a pair of round-toe beige derbys, has regular styling, lace-up detailleather uppercushioned footbedtextured and patterned outsolewarranty: 3 monthswarranty provided by brand/manufacturer",beige
10009621,spykar women blue adora skinny fit mid-rise low distress ankle-length stretchable jeans,spykar,women,1124,7,"blue medium wash 5-pocket mid-rise ankle-length jeans, low distress, heavy fade, has a button and zip closure, and waistband with belt loops",blue
10009681,spykar women blue adora skinny fit mid-rise clean look ankle-length stretchable jeans,spykar,women,989,7,"blue dark wash 5-pocket mid-rise ankle-length jeans, clean look, light fade, has a button and zip closure, and waistband with belt loops",blue
10017569,soie nude-coloured solid non-wired non padded maternity bra cb-331nude,soie,women,750,4,nude-coloured solid full-coverage maternity bra non padded and non-wired seamless cups regular straps and back closure back style: regular feature: all day comfort,red
10001251,lara karen women black solid maxi satin skirt,lara karen,women,1999,5,"black solid woven maxi skirt, has a slip-on closure, flared hem",black
